T_h	Type 1	Type 2	Type 3	Type 4	Type 5	Type 1	Type 2	Type 3	Type 4	Type 5
700	0	0.105187418543733	0	0	0	0	3683.88262048015	0	0	0
730	0	0.164088694121949	0	0.0508528866142759	0	0	4672.50185570824	0	2328.02378632947	0
760	0	0.173694960893962	0.174263704976626	0.114634315040507	0.0320352789302235	0	5127.10302392278	5153.27928263279	4111.10294238528	1860.62380758673
790	0	0.182458834658934	0.183001402185478	0.176907957390275	0.119194582271213	0	5572.81964862902	5599.36315169421	5284.10237935088	4685.84567709983
820	0	0.190486605870903	0.191005863351859	0.185105386010335	0.189023486654123	0	6010.17729892507	6037.09589160617	5710.33123350349	5926.715368269
850	0.191016228706776	0.197867126513	0.198365498036995	0.192642949515509	0.196496546566717	6035.85800238456	6439.65072265717	6466.95224078194	6128.6502292662	6356.04774708031
880	0.19806480202484	0.204675297208499	0.20515484855969	0.199597176738615	0.203389419305599	6446.52437746315	6861.6705187572	6889.36267349503	6539.49261045574	6778.00257036576
910	0.204587012783952	0.210974739994822	0.211437244028318	0.206033039586572	0.209766535722358	6850.16351619635	7276.62871321076	7304.71900154032	6943.25303970754	7192.95901918668
940	0.210639255839042	0.216819872178505	0.217266860186634	0.212006084005363	0.215683024099684	7247.12563510194	7684.88344844124	7713.37908480855	7340.29224510726	7601.26414255246
970	0.216270063968257	0.222257533584131	0.222690336069458	0.217564100896451	0.221186351982961	7637.7325324708	8086.76295241938	8115.67081807517	7730.94096061757	8003.23665407845
1000	0.221521448010911	0.227328276540955	0.227748055884122	0.222748449861574	0.226317627817322	8022.28076774135	8482.56891981051	8511.89552657847	8115.50328877725	8399.17014025313
1030	0.226429968722099	0.232067398187848	0.232475175049601	0.2275951178739	0.231112642761056	8401.04437465899	8872.57941008712	8902.33087592433	8494.2595878807	8789.33579173924
1060	0.231027601632069	0.236505773768477	0.236902448600022	0.232135573360761	0.235602711887079	8774.27719324547	9257.05134628731	9287.2333803991	8867.46896519315	9173.98474566832
1090	0.23534244058114	0.240670534690534	0.24105690538917	0.23639746079581	0.239815358911561	9142.21488799811	9636.22268134435	9666.84057689655	9235.37144155275	9553.35010818462
1120	0.239399274319427	0.244585624371889	0.244962400874202	0.240405169801923	0.243774877739517	9505.07670534374	10010.3142858629	10041.3729187806	9598.18984009298	9927.64871243176
