n_se	Type 1	Type 2	Type 3	Type 4	Type 5	Type 1	Type 2	Type 3	Type 4	Type 5
2	0.240026474293174	0.240598340282675	0.240637439313476	0.240139377184965	0.24050517089264	3193.83405944905	3212.04981553435	3213.08984114805	3197.34639296376	3209.03837536064
3	0.23579703640126	0.2372749859395	0.237376927277593	0.236089407073674	0.237034279280986	4597.39639880323	4664.77706990652	4668.70411730218	4610.37161988156	4653.57875910079
4	0.231275972748853	0.233956227987219	0.23414333847712	0.231814249691881	0.233513232486402	5868.39048693739	6023.83844535836	6033.12974249784	5898.64453315586	5997.45662411302
5	0.226503883752684	0.230640996776981	0.230934397262192	0.227353997340763	0.229941127520594	7008.55154960813	7294.77692045548	7312.40465526066	7065.25004640282	7244.7220010982
6	0.221521448010911	0.227328276540955	0.227748055884122	0.222748449861574	0.226317627817322	8022.28076774135	8482.56891981051	8511.89552657847	8115.50328877725	8399.17014025313
7	0.216366611273381	0.2240171024921	0.224582463724123	0.218034317172158	0.222642915542034	8915.74831723168	9591.70284751653	9636.39919284058	9056.13586931535	9464.40116012728
8	0.211072821215679	0.220706557638518	0.221435941547991	0.213243473721794	0.218917636512978	9696.0831446102	10626.2442902718	10690.2251841533	9894.55990179121	10443.8638073406
9	0.205668242207134	0.217395769542781	0.218306959925907	0.208402202143723	0.215142839938006	10370.737741765	11589.8905317744	11677.2634791619	10638.2932946253	11340.8862156776
10	0.205668242207134	0.214083907159226	0.215194120912334	0.203531203238603	0.211319915052933	10370.737741765	12486.0164304308	12601.0405775702	11294.5671452571	12158.6962060749
11	0.205668242207134	0.210770177822789	0.212096142569801	0.198646101258932	0.207450527041341	10370.737741765	13317.713267068	13464.7662735383	11870.0956033187	12900.4334158589
12	0.205668242207134	0.20745382442645	0.209011845733949	0.193758200638223	0.207450527041341	10370.737741765	14087.8218303688	14271.3729396258	12370.9704741149	12900.4334158589
13	0.205668242207134	0.20413412280221	0.205940142673069	0.193758200638223	0.207450527041341	10370.737741765	14798.9607477784	15023.5487402609	12370.9704741149	12900.4334158589
14	0.205668242207134	0.200810379307135	0.2028800273216	0.193758200638223	0.207450527041341	10370.737741765	15453.5508687203	15723.7658840862	12370.9704741149	12900.4334158589
15	0.205668242207134	0.197481928608241	0.199830566830934	0.193758200638223	0.207450527041341	10370.737741765	16053.8363505383	16374.3047930659	12370.9704741149	12900.4334158589
